Source_0,Source_1,Source_2,Source_3,Source_4,Source_5,Source_6,Source_7,Source_8,Source_9,Source_10,Source_11,Source_12,Source_13,Source_14,Source_15,Source_16,Source_17,Source_18,Source_19,Source_20,Source_21,Source_22,Source_23,Source_24,Source_25,Source_26,Source_27,Source_28,Source_29,Source_30,Source_31,Source_32,Source_33,Source_34,Source_35,Source_36,Source_37,Source_38,Source_39,Source_40
0.007735,0.003807,0.002219,-0.104388,0.121035,0.057424,-0.022167,-0.055989,-0.008786,-0.041925,0.004248,-0.020066,0.010145,0.032917,-0.050048,-0.065004,0.023008,0.044218,-0.000772,0.021873,0.110492,-0.036023,-0.00272,-0.012838,0.090225,0.009506,0.014959,0.047246,0.07617,0.008187,-0.018076,0.010383,0.02647,-0.048767,0.044258,0.002874,-0.044626,0.012979,0.052279,0.033032,0.00831
0.103275,0.011898,-0.022467,0.042809,0.15966,-0.021051,-0.09897,0.050599,0.030807,0.00852,0.005574,-0.017208,0.038666,0.022496,-0.004506,-0.099869,0.040962,-0.016683,-0.014247,-0.00808,-0.005269,-0.022045,0.033902,-0.033907,0.006314,-0.065047,-0.049238,-0.064453,0.01014,0.052392,-0.033734,-0.034996,-0.039277,0.00617,0.025726,-0.103458,0.238371,-0.028132,-0.084696,-0.055409,0.116416
-0.03904,-0.011029,-0.005872,-0.07253,0.069919,0.054534,-0.007898,0.055153,0.055155,0.035538,-0.037143,0.109322,0.038962,-0.009928,-0.016959,0.06184,0.018239,-0.017031,0.062857,-0.00743,0.025164,0.019527,0.050634,0.024268,-0.027943,-0.058398,0.019157,-0.01583,0.050706,0.104528,-0.043909,-0.008108,-0.026234,0.02035,-0.049401,-0.054351,-0.025051,-0.003035,-0.017745,0.013815,-0.00032
-0.053705,-0.023429,0.080233,-0.052489,-0.006042,-0.080159,0.091048,-0.052352,0.045238,-0.035188,-0.108923,-0.03122,-0.00209,0.01318,0.021255,0.022684,-0.000835,0.056036,0.021242,-0.046647,0.081678,0.017532,0.038834,0.017386,0.035915,-0.0354,-0.038381,0.049291,-0.044478,0.044416,0.074004,-0.055031,0.051689,-0.012288,0.025917,0.037821,-0.003699,-0.104454,0.013847,-0.014743,-0.049652
0.001152,0.000924,-0.129864,-0.072082,-0.025749,-0.084048,-0.004405,0.029921,0.021145,0.300402,-0.12289,-0.175852,0.015968,-0.00425,-0.080496,0.05205,0.048694,0.107878,-0.102192,0.179529,-0.052978,0.094379,0.018115,0.034142,0.076751,-0.404426,0.149456,0.127667,-0.052555,-0.00563,0.05152,-0.132697,-0.129815,0.103358,-0.147809,0.159878,0.02467,0.022528,0.065915,-0.016475,0.206617
0.008672,-0.06677,0.068812,0.042614,-0.064587,0.030405,-0.026555,-0.010661,0.057856,-0.07191,0.108769,0.052726,0.040449,0.008044,0.031173,0.06748,-0.053493,-0.082426,0.040879,-0.082763,-0.02269,0.000058,-0.026677,-0.008665,-0.008311,0.172669,-0.100204,-0.050444,-0.019697,0.107333,0.003522,-0.005881,0.039087,0.008745,0.022861,-0.066875,-0.040975,-0.017841,-0.020788,0.020177,-0.081091
0.0021,0.000103,0.010978,-0.01298,0.045523,-0.015033,0.00652,0.000058,-0.001852,0.018138,-0.001123,0.003307,0.022292,0.004647,-0.017603,-0.041466,-0.002661,0.001717,0.039913,0.005527,0.002628,0.007758,0.014757,-0.01295,0.035487,0.037204,-0.020152,-0.003628,0.039588,0.017309,-0.012918,-0.028676,0.013857,-0.02244,0.007694,-0.015634,-0.025906,-0.008075,0.033603,0.053552,0.044045
-0.015701,0.010227,-0.025967,0.002082,-0.005642,-0.012105,0.03206,-0.009912,-0.024321,0.015588,0.01545,-0.017712,-0.019802,0.050969,0.071606,-0.082878,0.0369,-0.035996,0.012812,0.085367,-0.008703,0.001037,0.022994,0.031049,-0.051478,-0.020559,-0.023755,-0.064632,-0.000876,0.05928,-0.00423,0.067796,-0.002643,-0.015314,-0.013861,0.024608,-0.038256,-0.013986,-0.001152,0.002819,0.020497
0.004905,-0.025226,-0.010982,0.022532,-0.010311,-0.046051,-0.005322,0.073759,0.078181,0.009256,0.002354,-0.076474,0.053377,-0.016202,-0.021834,-0.000261,-0.060707,0.07367,-0.003278,0.008619,0.054592,0.041831,-0.04739,-0.034303,0.013173,0.007014,0.001559,-0.014572,0.027803,-0.007367,-0.018418,0.032677,-0.027651,0.027209,0.024887,-0.037364,-0.014878,0.0005,-0.00336,0.013784,-0.045976
-0.011495,0.014515,-0.025609,0.004161,0.015273,-0.010978,0.058775,0.059176,-0.045774,0.037888,-0.01481,0.005511,0.000878,0.036078,0.01096,-0.0246,0.031095,-0.079433,0.04331,0.018643,-0.049299,-0.015183,0.004301,0.004595,0.002867,-0.005791,-0.028753,-0.00705,0.038828,0.023292,-0.030667,-0.023939,0.033404,-0.030497,-0.029661,-0.006038,-0.012787,-0.026185,0.0538,0.024271,0.041926
-0.005913,-0.010009,0.012734,-0.008972,-0.021663,0.00398,-0.056394,-0.049727,0.014299,-0.029071,0.006068,-0.016758,-0.0185,-0.012956,0.002575,0.020056,0.006234,0.056039,-0.040273,-0.000679,0.050584,0.023738,-0.022012,-0.020823,-0.042219,0.003625,0.062153,0.001028,-0.035625,-0.018742,0.008449,0.042755,-0.002939,0.009724,0.006447,-0.00575,0.015798,-0.01723,-0.050366,-0.044573,-0.043477
-0.06803,0.03838,0.035849,0.059063,-0.022884,-0.137321,0.009867,-0.148441,-0.055278,0.206699,-0.009033,0.120192,0.065395,-0.009159,-0.035773,0.042634,-0.026906,-0.028921,-0.017456,-0.161734,-0.120862,0.044672,-0.055033,-0.010255,0.046905,0.093869,0.073284,-0.147126,-0.015529,-0.002577,0.024756,0.0192,0.074217,0.018498,0.038476,-0.156859,0.008541,-0.044488,-0.056903,0.083623,0.077288
0.035121,-0.042338,-0.021517,0.101818,-0.092839,-0.035251,-0.018339,0.040837,-0.045042,0.020345,0.035559,-0.008112,-0.008116,-0.008586,0.013996,0.006829,0.030492,-0.02599,-0.063032,0.02304,-0.057436,0.01971,-0.056198,-0.028812,-0.056731,0.023866,0.036577,0.000536,-0.03668,-0.08509,0.006609,0.014661,-0.047465,0.004614,-0.056135,0.037796,0.003193,0.018051,0.053462,-0.044726,-0.018597
0.094564,-0.010083,-0.05316,0.041431,0.007832,0.076202,-0.0462,0.072587,-0.035484,-0.092481,0.055278,-0.065622,-0.019118,0.018147,0.015974,-0.075123,0.065944,-0.049964,-0.032997,0.092662,0.028243,-0.048523,-0.013523,-0.056856,-0.025504,0.005425,-0.035728,0.034424,-0.005126,-0.061434,-0.033112,0.015734,-0.063659,-0.029478,-0.024527,0.049061,0.043587,0.063963,0.023528,-0.04303,-0.004716
-0.003767,-0.04991,-0.01114,-0.035731,0.06089,0.021352,-0.060112,0.040453,0.057403,0.041801,-0.006329,0.047988,0.052441,-0.033734,-0.027852,0.015271,-0.04036,0.032314,0.05288,0.034335,0.002526,0.061268,0.037793,0.00995,-0.034917,-0.005044,0.025936,0.008623,0.106249,0.097308,-0.053121,-0.030767,0.009718,-0.005027,-0.002529,-0.042927,-0.076284,-0.029444,0.036196,0.001478,0.050779
0.01188,-0.021919,0.008258,0.045183,-0.02734,-0.091841,0.02242,-0.006091,0.043147,-0.002446,-0.079686,0.010705,0.029087,-0.014223,0.017201,-0.010201,0.00578,0.020388,-0.01802,-0.042275,0.046149,0.055571,0.039638,-0.021063,-0.036048,-0.018097,-0.00915,-0.017471,0.016862,0.059531,0.020214,-0.02496,0.029936,-0.032327,-0.00139,-0.025524,0.00868,-0.09846,0.033188,-0.050971,-0.000271
0.050259,-0.011189,-0.067349,0.037272,-0.039208,0.034062,-0.048675,-0.088488,-0.005175,0.063186,0.110809,-0.000383,0.022762,0.031679,-0.048744,-0.016531,0.000685,-0.039369,-0.085595,-0.007478,-0.033518,-0.008434,-0.050403,0.011091,0.057076,0.063304,0.045813,-0.03896,0.058219,0.034488,-0.023822,0.070808,-0.009349,-0.031496,-0.00097,-0.046403,-0.054382,0.069353,0.050132,-0.008342,0.021025
0.013412,-0.070936,0.068133,-0.042884,0.007963,0.048707,-0.00011,0.073239,0.006405,-0.052225,0.021484,-0.004648,0.024568,0.004425,0.024061,0.060993,0.008068,-0.050176,0.097459,0.028312,-0.057241,-0.010677,-0.019447,-0.002941,-0.007556,0.009144,-0.047742,0.018465,-0.116732,0.002758,-0.005896,-0.036061,-0.051033,0.015361,-0.061212,0.051485,0.073622,-0.02219,-0.027215,0.044192,-0.030199
-0.028775,0.019584,0.015335,-0.057519,0.07444,0.064058,-0.020371,0.017987,0.006424,0.026735,0.029329,0.021098,0.031093,0.043337,-0.011178,-0.02703,0.045116,0.006119,0.005216,0.041928,0.03793,-0.014235,-0.011688,-0.020883,0.035481,-0.000547,0.023008,-0.026004,0.050056,0.040033,-0.042585,0.045164,-0.044492,0.024356,-0.004991,-0.041412,-0.056207,0.0576,-0.007397,0.029341,-0.011204
0.02329,-0.069909,-0.035913,0.058665,-0.067073,-0.069132,0.016442,-0.014165,0.022637,-0.019556,0.008059,-0.015625,-0.023301,-0.020743,0.020409,0.040913,-0.057216,-0.010271,-0.024828,-0.033449,-0.012145,0.007505,-0.017295,0.059881,-0.040588,-0.00862,-0.035992,0.004274,-0.04171,-0.009539,0.054466,-0.005698,0.026182,-0.002784,0.002771,0.033662,0.047169,-0.050599,0.014598,-0.047993,-0.033936
-0.015514,-0.025569,0.064306,0.03637,-0.058869,-0.037471,0.004903,-0.079969,-0.00458,0.029417,0.037567,-0.058416,0.003558,0.063232,0.036065,-0.019099,0.035304,-0.005827,-0.078454,0.012695,-0.046288,-0.003472,-0.039311,0.002068,0.026577,0.01476,0.004715,-0.010023,-0.055034,0.043702,0.038784,0.018889,0.000664,0.01322,0.031015,-0.001726,-0.011413,-0.017425,-0.007437,-0.082549,-0.014885
